
 num     #instances         #bytes  class name
 386:             1             88  com.gemstone.gemfire.internal.tcp.TCPConduit
 387:             1             88  sun.security.provider.Sun
 388:             1             88  com.gemstone.gemfire.internal.cache.tier.sockets.CacheClientNotifier
 389:             1             88  sun.security.jca.ProviderList$1
 390:             1             88  [Lcom.gemstone.gemfire.internal.cache.tier.Version;
 391:             1             88  com.gemstone.gemfire.internal.JavaStatSampler
 392:             5             80  com.gemstone.java.util.concurrent.SynchronousQueueNoSpin$TransferStack
 393:             2             80  com.gemstone.gemfire.internal.tcp.Buffers$BBSoftReference
 394:             5             80  java.util.concurrent.atomic.AtomicBoolean
 395:             5             80  java.util.Arrays$ArrayList
 396:             5             80  sun.nio.ch.SocketChannelImpl$1
 397:             2             80  java.util.WeakHashMap$Entry
 398:             5             80  com.gemstone.gemfire.internal.cache.BucketRegion$SizeOp
 399:             2             80  java.net.SocketInputStream
 400:             5             80  java.util.Hashtable$EntrySet
 401:             5             80  com.gemstone.gemfire.internal.util.concurrent.ReentrantSemaphore
 402:             2             80  com.gemstone.gemfire.internal.cache.PRHARedundancyProvider
 403:             1             80  com.gemstone.gemfire.internal.cache.TXManagerImpl
 404:             2             80  com.gemstone.gemfire.distributed.internal.membership.MemberAttributes
 405:             5             80  java.util.concurrent.ConcurrentHashMap$KeySet
 406:             1             80  com.gemstone.gemfire.internal.ManagerLogWriter
 407:             1             80  java.util.concurrent.ScheduledThreadPoolExecutor
 408:             2             80  com.gemstone.gemfire.internal.cache.DiskWriteAttributesImpl
 409:             4             80  [Ljava.lang.reflect.Type;
 410:             5             80  com.gemstone.org.jgroups.protocols.pbcast.STABLE$StableHeader
 411:             2             80  java.util.IdentityHashMap
 412:             1             72  sun.misc.Launcher$ExtClassLoader
 413:             1             72  com.gemstone.gemfire.internal.cache.control.ResourceAdvisor
 414:             3             72  com.gemstone.gemfire.cache.MirrorType
 415:             2             72  [[Ljava.lang.String;
 416:             3             72  sun.reflect.generics.tree.ClassSignature
 417:             1             72  com.gemstone.org.jgroups.protocols.AUTH
 418:             3             72  java.security.BasicPermissionCollection
 419:             1             72  com.gemstone.gemfire.internal.cache.CacheDistributionAdvisor$CacheProfile
 420:             1             72  sun.misc.Launcher$AppClassLoader
 421:             3             72  java.net.Socket
 422:             3             72  com.gemstone.org.jgroups.util.List$Element
 423:             3             72  java.util.regex.Pattern$2
 424:             4             64  com.gemstone.gemfire.cache.ExpirationAction
 425:             2             64  java.io.ExpiringCache
 426:             4             64  [Ljava.security.Principal;
 427:             4             64  java.security.ProtectionDomain$Key
 428:             4             64  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock$StoppableReadLock
 429:             4             64  com.gemstone.gemfire.internal.cache.InMemoryPersistentMemberView
 430:             3             64  [Lsun.reflect.generics.tree.ClassTypeSignature;
 431:             4             64  com.gemstone.gemfire.internal.cache.persistence.PersistenceAdvisorImpl$ProfileChangeListener
 432:             2             64  com.gemstone.gemfire.distributed.internal.locks.GrantorInfo
 433:             1             64  com.gemstone.gemfire.internal.stats50.VMStats50
 434:             2             64  [Lsun.security.jca.ProviderConfig;
 435:             2             64  com.gemstone.gemfire.internal.ObjIdConcurrentMap
 436:             1             64  com.gemstone.gemfire.distributed.internal.ThrottlingMemLinkedQueueWithDMStats
 437:             4             64  com.gemstone.gemfire.cache.Scope
 438:             4             64  com.gemstone.gemfire.internal.sequencelog.GraphType
 439:             2             64  java.io.InvalidClassException
 440:             1             64  java.security.SecureRandom
 441:             1             64  com.gemstone.org.jgroups.stack.GossipClient
 442:             4             64  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock
 443:             4             64  com.gemstone.gemfire.cache.LossAction
 444:             2             64  sun.management.GarbageCollectorImpl
 445:             1             64  com.gemstone.org.jgroups.protocols.UNICAST$Entry
 446:             2             64  com.gemstone.gemfire.internal.cache.FilterProfile$IDMap
 447:             2             64  java.net.DatagramSocket
 448:             4             64  java.util.regex.Pattern$BitClass
 449:             2             64  [Lcom.gemstone.gemfire.internal.sequencelog.GraphType;
 450:             4             64  com.gemstone.gemfire.internal.cache.CachePerfStats
 451:             2             64  com.gemstone.org.jgroups.util.AckCollector
 452:             2             64  java.security.MessageDigest$Delegate
 453:             4             64  java.io.FilePermissionCollection
 454:             4             64  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantReadWriteLock$StoppableWriteLock
 455:             1             64  com.gemstone.gemfire.pdx.internal.PeerTypeRegistration
 456:             4             64  java.util.concurrent.SynchronousQueue$TransferStack
 457:             2             64  com.gemstone.java.util.concurrent.SynchronousQueueNoSpin$TransferStack$SNode
