
 num     #instances         #bytes  class name
 429:             2             64  com.gemstone.org.jgroups.util.AckCollector
 430:             4             64  com.gemstone.gemfire.cache.LossAction
 431:             2             64  com.gemstone.gemfire.internal.ObjIdConcurrentMap
 432:             1             64  com.gemstone.org.jgroups.protocols.UNICAST$Entry
 433:             2             64  sun.nio.ch.WindowsSelectorImpl$SubSelector
 434:             1             64  java.security.SecureRandom
 435:             1             64  com.gemstone.gemfire.internal.stats50.VMStats50
 436:             2             64  java.security.MessageDigest$Delegate
 437:             2             64  com.gemstone.gemfire.internal.cache.CacheServerLauncher$Status
 438:             1             56  [Lcom.gemstone.gemfire.internal.admin.ListenerIdMap$Entry;
 439:             1             56  com.gemstone.gemfire.internal.cache.TXManagerImpl$1
 440:             1             56  java.util.ResourceBundle$RBClassLoader
 441:             1             56  [Ljava.lang.Runnable;
 442:             1             56  com.gemstone.gemfire.internal.cache.tier.sockets.ClientHealthMonitor
 443:             1             56  com.gemstone.gemfire.internal.GemFireVersion
 444:             1             56  com.gemstone.org.jgroups.protocols.PingWaiter
 445:             1             56  com.gemstone.gemfire.pdx.internal.TypeRegistry
 446:             1             56  [F
 447:             3             56  [Ljava.io.File;
 448:             1             56  com.gemstone.gemfire.internal.cache.TXEntryState
 449:             3             48  java.net.Proxy$Type
 450:             3             48  java.text.AttributedCharacterIterator$Attribute
 451:             1             48  com.gemstone.gemfire.cache.query.internal.index.IndexManager
 452:             3             48  sun.reflect.generics.scope.ClassScope
 453:             1             48  com.gemstone.gemfire.cache.server.internal.LoadMonitor
 454:             3             48  com.gemstone.gemfire.cache.EvictionAction
 455:             3             48  com.gemstone.org.jgroups.protocols.pbcast.STABLE$StableHeader
 456:             1             48  com.gemstone.gemfire.internal.tools.gfsh.app.GfshVersion
 457:             2             48  com.springsource.vfabric.licensing.client.LocalVliCheckLicenseProvider
 458:             2             48  sun.nio.ch.WindowsSelectorImpl$FinishLock
 459:             1             48  [Lcom.gemstone.gemfire.internal.cache.control.MemoryEventType;
 460:             1             48  com.gemstone.gemfire.SystemFailure$2
 461:             1             48  java.text.DateFormatSymbols
 462:             2             48  sun.security.jca.ProviderList
 463:             3             48  com.gemstone.gemfire.internal.concurrent.ConcurrentLinkedQueue5
 464:             3             48  com.gemstone.gemfire.internal.util.concurrent.StoppableReentrantLock
